dataset,mrr,hits@1,hits@3,hits@5,hits@10
FBIngram_25,0.4203409584921191,0.29224982505248426,0.48058082575227434,0.5758397480755774,0.6851819454163751
FBIngram_50,0.36278327327419435,0.25045114720288736,0.40861046661510697,0.4836298014952307,0.5926785253931426
FBIngram_75,0.4381762211750487,0.3325820991629105,0.49066323245331617,0.557630392788152,0.6416613007083065
FBIngram_100,0.49173093118099603,0.38428510090167456,0.5470158866466295,0.615929583512237,0.6992271361099184
WKIngram_25,0.4258690467235514,0.3253757736516357,0.4796640141467728,0.5446507515473032,0.6286472148541115
WKIngram_50,0.27248518398541033,0.19286821705426357,0.297984496124031,0.36186046511627906,0.4389147286821705
WKIngram_75,0.44563640937040033,0.3631993006993007,0.49082167832167833,0.5327797202797203,0.597465034965035
WKIngram_100,0.27002051743939876,0.19417259786476868,0.29993327402135234,0.34441725978647686,0.414479537366548
NLIngram_0,0.5569973228483176,0.4475753604193971,0.6061598951507209,0.6887287024901704,0.790956749672346
NLIngram_25,0.5332290227336656,0.4254032258064516,0.5813172043010753,0.655241935483871,0.7365591397849462
NLIngram_50,0.5243109051404883,0.43131548311990686,0.5616996507566938,0.6239813736903376,0.7025611175785798
NLIngram_75,0.4643012406498053,0.3542009884678748,0.5032948929159803,0.5848434925864909,0.685337726523888
NLIngram_100,0.5662090631666296,0.457124842370744,0.6229508196721312,0.6904161412358134,0.7711223203026482
