dataset,mrr,hits@1,hits@3,hits@5,hits@10
HM_1k,0.08905041228960638,0.06932773109243698,0.0976890756302521,0.10504201680672269,0.12394957983193278
FB15k237Inductive_v1,0.496318360787251,0.3902439024390244,0.5756097560975609,0.6195121951219512,0.6634146341463415
FB15k237Inductive_v2,0.5522050028178785,0.4476987447698745,0.6255230125523012,0.6715481171548117,0.7374476987447699
FB15k237Inductive_v3,0.5042878443269644,0.40173410404624277,0.5710982658959538,0.6271676300578035,0.6791907514450867
FB15k237Inductive_v4,0.48559378463105995,0.37605337078651685,0.5561797752808989,0.6158707865168539,0.6825842696629213
WN18RRInductive_v1,0.6340969147912201,0.5558510638297872,0.6835106382978723,0.7207446808510638,0.7686170212765957
WN18RRInductive_v2,0.6338670978820218,0.5566893424036281,0.68140589569161,0.7142857142857143,0.764172335600907
WN18RRInductive_v3,0.3920129628420669,0.3322314049586777,0.41652892561983473,0.45950413223140496,0.5057851239669422
WN18RRInductive_v4,0.5846954664555628,0.5258922323303009,0.6231630510846746,0.6494051784464661,0.678446466060182
NELLInductive_v1,0.5374755600961891,0.495,0.505,0.54,0.635
NELLInductive_v2,0.5758085081758785,0.44642857142857145,0.6617647058823529,0.7300420168067226,0.8119747899159664
NELLInductive_v3,0.5420861350372425,0.43510506798516685,0.6007416563658838,0.6631644004944376,0.7428924598269468
NELLInductive_v4,0.5106551686289615,0.3796169630642955,0.5841313269493844,0.6744186046511628,0.7626538987688098
ILPC2022_small,0.28997727102334747,0.2162301860785665,0.32029634734665746,0.3694004135079256,0.4341833218470021
ILPC2022_large,0.2891248917725749,0.22343872741555382,0.3222211311861744,0.3634131971720346,0.4115278868813826
HM_3k,0.08205052612230436,0.055967383246849516,0.08821349147516679,0.10637509266123055,0.13676797627872497
HM_5k,0.07512529649647536,0.04896421845574388,0.08239171374764595,0.10145951035781545,0.12876647834274954
HM_indigo,0.3603062331469261,0.25647477187332257,0.40982286634460546,0.48003891572732155,0.564110305958132
FBIngram_25,0.38171954682331277,0.25621063680895734,0.43579426172148356,0.5349020293911827,0.6444191742477257
FBIngram_50,0.3309592923577179,0.22299561742717194,0.37213199278164477,0.4539829853054911,0.5540087651456561
FBIngram_75,0.3966267398902599,0.29233741146168707,0.44220862846104314,0.512073406310367,0.5965872504829363
FBIngram_100,0.460378829563482,0.3578789179905539,0.5077286389008158,0.5809360240446544,0.6610133104336625
WKIngram_25,0.3200226232157828,0.22369584438549955,0.3673740053050398,0.4244031830238727,0.5181255526083113
WKIngram_50,0.15931184430860382,0.10170542635658915,0.17503875968992247,0.22,0.2834108527131783
WKIngram_75,0.3865507928883647,0.30594405594405594,0.4182692307692308,0.4755244755244755,0.5463286713286714
WKIngram_100,0.1912868553432156,0.13345195729537365,0.2119661921708185,0.24688612099644128,0.29859875444839856
NLIngram_0,0.4073042189391759,0.31585845347313235,0.436435124508519,0.5006553079947575,0.5982961992136304
NLIngram_25,0.4097631340127614,0.32123655913978494,0.44623655913978494,0.4852150537634409,0.5692204301075269
NLIngram_50,0.42277654307240625,0.340512223515716,0.44935972060535506,0.5005820721769499,0.5849825378346915
NLIngram_75,0.37923079869536636,0.2800658978583196,0.4110378912685338,0.48352553542009885,0.57166392092257
NLIngram_100,0.4987073596094714,0.3991172761664565,0.5504413619167717,0.6059268600252207,0.691046658259773
WikiTopicsMT1_tax,0.2911925299292324,0.22164667393675028,0.3416030534351145,0.3814067611777535,0.4321155943293348
WikiTopicsMT1_health,0.3814059787239903,0.3339719029374202,0.3895274584929757,0.42017879948914433,0.47541507024265645
WikiTopicsMT2_org,0.08727164576063438,0.05305202785743548,0.08869315854158132,0.11224907824662024,0.15014338385907414
WikiTopicsMT2_sci,0.27545418885542117,0.1712121212121212,0.34484848484848485,0.38484848484848483,0.4481818181818182
WikiTopicsMT3_art,0.25044011657554793,0.18535175072277546,0.27545775778991327,0.31480886604561514,0.3763250883392226
WikiTopicsMT3_infra,0.642862663020633,0.5719334719334719,0.6787941787941788,0.7230769230769231,0.779002079002079
WikiTopicsMT4_sci,0.3025799444061909,0.2154178674351585,0.34221902017291067,0.39913544668587897,0.46938040345821325
WikiTopicsMT4_health,0.6471148648024603,0.5880798590722255,0.6840869054609513,0.7172636523781561,0.7554315913094539
Metafam,0.42324013923878057,0.21739130434782608,0.529891304347826,0.7010869565217391,0.9347826086956522
FBNELL,0.5156832824853901,0.4212730318257956,0.5661641541038526,0.6172529313232831,0.6984924623115578
