dataset,mr,mrr,hits@1,hits@3,hits@10,hits@10_50
FB15k237Inductive:v1,56.024330139160156,0.48626023530960083,0.38929441571235657,0.5510948896408081,0.6569343209266663,0.9207180142402649
FB15k237Inductive:v2,60.8537483215332,0.5005503296852112,0.4017951488494873,0.5559661984443665,0.6942977905273438,0.9404902458190918
FB15k237Inductive:v3,86.31889343261719,0.48211705684661865,0.39081457257270813,0.5337954759597778,0.6444252133369446,0.9457852840423584
FB15k237Inductive:v4,72.82535552978516,0.4768696427345276,0.37112677097320557,0.5390844941139221,0.6707746386528015,0.9676231741905212
WN18RRInductive:v1,53.18632888793945,0.5929059982299805,0.5013405084609985,0.6461126208305359,0.7788203954696655,0.9045056700706482
WN18RRInductive:v2,177.44601440429688,0.6204630732536316,0.5469483733177185,0.6678403615951538,0.7517605423927307,0.8935671448707581
WN18RRInductive:v3,410.97857666015625,0.3712637722492218,0.30752405524253845,0.40201225876808167,0.49387577176094055,0.8305709958076477
WN18RRInductive:v4,431.440673828125,0.4839155673980713,0.3877080976963043,0.5332978963851929,0.687035083770752,0.887578547000885
NELLInductive:v1,3.9228856563568115,0.7310842871665955,0.6791045069694519,0.7512437701225281,0.8681591749191284,0.8401319980621338
NELLInductive:v2,50.54331588745117,0.5246646404266357,0.4117647111415863,0.6026737689971924,0.718716561794281,0.9625215530395508
